现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
-0.00127941,1.2564e-007,-2.31704,0,0,-10.1955,-50.3046,-2.12663,0,0,-4.20665,-16.8322,-1.95,0,0,-20.5573,-92.7771,-1.95,0,0
-0.00114155,0.000459529,-2.41306,0,0,-10.5829,-51.243,-2.22885,0,0,-4.45167,-17.2206,-2.05,0,0,-21.6432,-95.1998,-2.05,0,0
-0.00104825,0.000311002,-2.44858,0,0,-10.9687,-53.7972,-2.27637,0,0,-4.6969,-18.0487,-2.1,0,0,-22.7144,-99.8455,-2.1,0,0
-0.000985106,0.000210481,-2.48293,0,0,-11.3484,-54.6492,-2.32348,0,0,-4.95033,-18.4318,-2.15,0,0,-23.7775,-102.141,-2.15,0,0
-0.000942371,0.000142451,-2.51614,0,0,-11.7248,-55.5065,-2.37025,0,0,-5.21058,-18.8065,-2.2,0,0,-24.8327,-104.437,-2.2,0,0
-0.000913448,9.64083e-005,-2.54771,0,0,-12.0963,-56.3543,-2.41647,0,0,-5.47341,-19.1639,-2.25,0,0,-25.8901,-106.768,-2.25,0,0
-0.000893874,6.52476e-005,-2.5772,0,0,-12.4691,-57.2126,-2.46207,0,0,-5.73974,-19.5231,-2.3,0,0,-26.9577,-109.125,-2.3,0,0
-0.000880626,4.41586e-005,-2.60671,0,0,-12.8424,-58.0468,-2.50774,0,0,-6.0116,-19.8875,-2.35,0,0,-28.0141,-111.41,-2.35,0,0
-0.00087166,2.98858e-005,-2.69086,0,0,-13.2248,-58.9121,-2.60642,0,0,-6.29325,-20.2634,-2.45,0,0,-29.081,-113.768,-2.45,0,0
-0.000865593,2.02263e-005,-2.71611,0,0,-13.607,-61.3688,-2.65075,0,0,-6.57742,-21.0819,-2.5,0,0,-30.1518,-118.477,-2.5,0,0
-0.000861486,1.36888e-005,-2.73981,0,0,-13.9833,-62.1285,-2.69449,0,0,-6.86975,-21.4466,-2.55,0,0,-31.2323,-120.831,-2.55,0,0
-0.000858707,9.26439e-006,-2.7645,0,0,-14.3531,-62.8767,-2.73859,0,0,-7.16874,-21.8025,-2.6,0,0,-32.2926,-123.086,-2.6,0,0
-0.000856826,6.26999e-006,-2.77925,0,0,-14.7251,-63.6752,-2.77923,0,0,-7.47588,-22.1601,-2.65,0,0,-33.342,-125.373,-2.65,0,0
-0.000855553,4.24343e-006,-2.83487,0,0,-15.0966,-64.355,-2.83486,0,0,-7.78556,-22.4953,-2.7,0,0,-34.4085,-127.753,-2.7,0,0
