现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
2.61823,4.15065,4.8,0,0,2.64366,4.12195,4.8,0,0,2.65304,4.09579,4.8,0,0,0,0,0,0,0
2.70305,4.19796,4.9,0,0,2.72775,4.14967,4.9,0,0,2.73917,4.13767,4.9,0,0,0,0,0,0,0
2.78883,4.22811,5,0,0,2.81168,4.17835,5,0,0,2.82221,4.15527,5,0,0,0,0,0,0,0
2.87131,4.24585,5.1,0,0,2.89647,4.2099,5.1,0,0,2.90957,4.19706,5.1,0,0,0,0,0,0,0
2.95872,4.29018,5.2,0,0,2.98366,4.24363,5.2,0,0,2.9954,4.21633,5.2,0,0,0,0,0,0,0
3.04578,4.31228,5.3,0,0,3.06871,4.26173,5.3,0,0,3.07979,4.23863,5.3,0,0,0,0,0,0,0
3.13146,4.3325,5.4,0,0,3.15809,4.29984,5.4,0,0,3.16874,4.27854,5.4,0,0,0,0,0,0,0
3.21955,4.36466,5.5,0,0,3.24263,4.30715,5.5,0,0,3.25503,4.29206,5.5,0,0,0,0,0,0,0
3.3061,4.38261,5.6,0,0,3.32991,4.34224,5.6,0,0,3.34138,4.31723,5.6,0,0,0,0,0,0,0
3.39283,4.40759,5.7,0,0,3.41851,4.36879,5.7,0,0,3.4307,4.34965,5.7,0,0,0,0,0,0,0
3.48332,4.44124,5.8,0,0,3.50736,4.39024,5.8,0,0,3.51796,4.36396,5.8,0,0,0,0,0,0,0
3.57012,4.4494,5.9,0,0,3.59682,4.41213,5.9,0,0,3.60741,4.39276,5.9,0,0,0,0,0,0,0
3.66258,4.48765,6,0,0,3.68471,4.42747,6,0,0,3.69611,4.41013,6,0,0,0,0,0,0,0
3.74982,4.48838,6.1,0,0,3.77715,4.46097,6.1,0,0,3.78564,4.43284,6.1,0,0,0,0,0,0,0
3.84085,4.52116,6.2,0,0,3.86543,4.46434,6.2,0,0,3.87549,4.45279,6.2,0,0,0,0,0,0,0
3.93008,4.53305,6.3,0,0,3.95571,4.49081,6.3,0,0,3.96341,4.46651,6.3,0,0,0,0,0,0,0
4.02056,4.55587,6.4,0,0,4.04631,4.50932,6.4,0,0,4.05662,4.50179,6.4,0,0,0,0,0,0,0
4.11111,4.57343,6.5,0,0,4.13991,4.53402,6.5,0,0,4.14813,4.50992,6.5,0,0,0,0,0,0,0
4.20522,4.59958,6.6,0,0,4.22918,4.53488,6.6,0,0,4.23746,4.52002,6.6,0,0,0,0,0,0,0
4.29437,4.59794,6.7,0,0,4.32291,4.56563,6.7,0,0,4.33218,4.553,6.7,0,0,0,0,0,0,0
4.39024,4.6346,6.8,0,0,4.41485,4.57262,6.8,0,0,4.42137,4.54879,6.8,0,0,0,0,0,0,0
4.47849,4.62305,6.9,0,0,4.50528,4.58355,6.9,0,0,4.51462,4.5787,6.9,0,0,0,0,0,0,0
4.57296,4.66012,7,0,0,4.5979,4.6065,7,0,0,4.60471,4.58313,7,0,0,0,0,0,0,0
4.66356,4.66051,7.1,0,0,4.69019,4.61917,7.1,0,0,4.69772,4.60853,7.1,0,0,0,0,0,0,0
4.75895,4.68966,7.2,0,0,4.78396,4.63696,7.2,0,0,4.79053,4.62081,7.2,0,0,0,0,0,0,0
4.85098,4.68968,7.3,0,0,4.87896,4.65142,7.3,0,0,4.88372,4.6349,7.3,0,0,0,0,0,0,0
4.94677,4.71362,7.4,0,0,4.9699,4.65041,7.4,0,0,4.97747,4.64871,7.4,0,0,0,0,0,0,0
5.03862,4.71149,7.5,0,0,5.06559,4.67883,7.5,0,0,5.07067,4.6588,7.5,0,0,0,0,0,0,0
5.13294,4.73254,7.6,0,0,5.15742,4.67707,7.6,0,0,5.16412,4.67181,7.6,0,0,0,0,0,0,0
5.22553,4.73862,7.7,0,0,5.25213,4.69918,7.7,0,0,5.25712,4.68265,7.7,0,0,0,0,0,0,0
5.32105,4.75946,7.8,0,0,5.34639,4.70772,7.8,0,0,5.35115,4.69805,7.8,0,0,0,0,0,0,0
5.41431,4.76201,7.9,0,0,5.44222,4.72214,7.9,0,0,5.44775,4.71533,7.9,0,0,0,0,0,0,0
5.51252,4.7867,8,0,0,5.53587,4.72431,8,0,0,5.54078,4.71266,8,0,0,0,0,0,0,0
5.60389,4.77287,8.1,0,0,5.63231,4.74288,8.1,0,0,5.63733,4.7342,8.1,0,0,0,0,0,0,0
5.70261,4.80701,8.2,0,0,5.72658,4.74395,8.2,0,0,5.73077,4.73272,8.2,0,0,0,0,0,0,0
5.7944,4.792,8.3,0,0,5.82222,4.75786,8.3,0,0,5.82604,4.74926,8.3,0,0,0,0,0,0,0
5.89373,4.82589,8.4,0,0,5.91744,4.76476,8.4,0,0,5.92088,4.75681,8.4,0,0,0,0,0,0,0
5.98619,4.80989,8.5,0,0,6.01555,4.78073,8.5,0,0,6.01975,4.77635,8.5,0,0,0,0,0,0,0
6.08701,4.84461,8.6,0,0,6.11056,4.77643,8.6,0,0,6.11295,4.76422,8.6,0,0,0,0,0,0,0
6.17917,4.82143,8.7,0,0,6.20672,4.78842,8.7,0,0,6.20887,4.78344,8.7,0,0,0,0,0,0,0
6.27706,4.85009,8.8,0,0,6.30285,4.79534,8.8,0,0,6.30566,4.79308,8.8,0,0,0,0,0,0,0
6.37151,4.84533,8.9,0,0,6.40002,4.80502,8.9,0,0,6.40495,4.80517,8.9,0,0,0,0,0,0,0
6.47234,4.87145,9,0,0,6.49638,4.80818,9,0,0,6.49637,4.78681,9,0,0,0,0,0,0,0
6.56397,4.84692,9.1,0,0,6.59232,4.81378,9.1,0,0,6.59498,4.82046,9.1,0,0,0,0,0,0,0
6.66475,4.88509,9.2,0,0,6.6904,4.82652,9.2,0,0,6.69712,4.83183,9.2,0,0,0,0,0,0,0
6.76361,4.87885,9.3,0,0,6.78839,4.82982,9.3,0,0,6.79352,4.81358,9.3,0,0,0,0,0,0,0
6.86035,4.87564,9.4,0,0,6.88454,4.82892,9.4,0,0,6.88809,4.81557,9.4,0,0,0,0,0,0,0
6.95585,4.87851,9.5,0,0,6.98162,4.83823,9.5,0,0,6.98552,4.83264,9.5,0,0,0,0,0,0,0
7.05489,4.89558,9.6,0,0,7.07852,4.84315,9.6,0,0,7.08299,4.83742,9.6,0,0,0,0,0,0,0
7.15167,4.89167,9.7,0,0,7.17686,4.8524,9.7,0,0,7.18187,4.84559,9.7,0,0,0,0,0,0,0
7.25075,4.9033,9.8,0,0,7.27486,4.8546,9.8,0,0,7.27962,4.84483,9.8,0,0,0,0,0,0,0
7.34868,4.90208,9.9,0,0,7.3702,4.85158,9.9,0,0,7.37633,4.84631,9.9,0,0,0,0,0,0,0
7.44414,4.89974,10,0,0,7.46927,4.86941,10,0,0,7.47511,4.85748,10,0,0,0,0,0,0,0
7.54463,4.92058,10.1,0,0,7.56822,4.87083,10.1,0,0,7.57425,4.86065,10.1,0,0,0,0,0,0,0
7.64335,4.91527,10.2,0,0,7.66666,4.87145,10.2,0,0,7.6732,4.86171,10.2,0,0,0,0,0,0,0
7.7422,4.91794,10.3,0,0,7.76465,4.87319,10.3,0,0,7.7687,4.85504,10.3,0,0,0,0,0,0,0
